# A1 EdgeFinder Monthly Seasonality scanner, read from the DOM during full access.
# A1 refresh stamp 03.09.2026 10:43 local (UTC+3) = 2026-09-03 07:43Z; their own
# 'time since last update' panel put the seasonality scanners at 21h old, i.e. a 24h job.
#
# One row per symbol per calendar month. tenYearAvgPct is the figure their Seasonality
# COLUMN scores: sign(tenYearAvgPct) reproduces their printed cell 7/7 on the seven
# symbols where our cell disagreed with theirs.
#
# fiveYearAvgPct and thisYearPct were captured for the first 19 symbols only, before the
# extractor was narrowed to the column that scores. Blank means not captured, NOT zero.
#
# Their scanner covers 48 assets and NOT the seven currency index rows (EURO, GB-POUND,
# JP-YEN, AU-DOLLAR, NZ-DOLLAR, CA-DOLLAR, CH-FRANC) - only USDOLLAR. It also carries VIX,
# which is not on the board. CHINA50, NATGAS, US10T and VIX are not modelled here.
symbol,month,tenYearAvgPct,fiveYearAvgPct,thisYearPct
EURGBP,1,-0.7,-0.87,-0.64
EURGBP,2,0.05,-0.46,0.94
EURGBP,3,0.57,0.24,-0.58
EURGBP,4,-0.18,0.54,-0.4
EURGBP,5,0.3,-0.64,0.02
EURGBP,6,1.32,0.37,-0.58
EURGBP,7,0.11,-0.77,-0.62
EURGBP,8,0.54,0.76,-0.02
EURGBP,9,0.06,0.79,0.15
EURGBP,10,-0.46,-0.51,
EURGBP,11,-0.93,-0.23,
EURGBP,12,0.83,0.2,
GBPCHF,1,0.89,1.4,-1.03
GBPCHF,2,-0.16,0.81,-1.16
GBPCHF,3,-0.09,0.59,1
GBPCHF,4,0.46,-1.2,1.21
GBPCHF,5,-0.72,0.48,-1.19
GBPCHF,6,-1.72,-1.25,1.59
GBPCHF,7,-0.32,-0.74,1.34
GBPCHF,8,-0.64,-0.75,0.98
GBPCHF,9,-0.14,-0.95,0.48
GBPCHF,10,0.7,0.57,
GBPCHF,11,0.75,-0.37,
GBPCHF,12,-1.34,-0.78,
SPX500,1,1.41,0.82,1.37
SPX500,2,-0.57,0.12,-0.87
SPX500,3,-0.3,1.73,-5.09
SPX500,4,1.95,-1.4,10.42
SPX500,5,1.79,2.35,5.15
SPX500,6,1.59,1.75,-1.06
SPX500,7,3.05,3.56,-0.13
SPX500,8,1.08,0.21,2.62
SPX500,9,-1.28,-2.68,-0.71
SPX500,10,1.35,2.8,
SPX500,11,3.78,3.86,
SPX500,12,-0.11,0.07,
USDZAR,1,-0.32,0.92,-5.23
USDZAR,2,0.85,0.96,1.27
USDZAR,3,1.24,-2.35,8
USDZAR,4,0.43,1.67,-2.24
USDZAR,5,0.35,-0.54,-3.49
USDZAR,6,0.08,0.56,1.23
USDZAR,7,-1.22,-0.5,0.49
USDZAR,8,2.19,0.95,-2.01
USDZAR,9,0.16,0.99,-0.16
USDZAR,10,0.43,0.66,
USDZAR,11,-1.12,0.27,
USDZAR,12,-0.69,-0.39,
EURUSD,1,0.24,-0.66,1.86
EURUSD,2,-0.64,-0.34,-1.36
EURUSD,3,0.37,0.54,-2.91
EURUSD,4,0.34,0.64,1.96
EURUSD,5,-0.02,0.28,-0.27
EURUSD,6,0.07,-0.45,-1.98
EURUSD,7,0.5,-0.52,0.89
EURUSD,8,0.27,0.27,0.57
EURUSD,9,-0.81,-1.15,-0.05
EURUSD,10,-0.75,-0.33,
EURUSD,11,-0.2,0.25,
EURUSD,12,1.13,0.84,
GBPUSD,1,0.98,0.23,2.52
GBPUSD,2,-0.67,0.13,-2.28
GBPUSD,3,-0.18,0.3,-2.36
GBPUSD,4,0.52,0.08,2.4
GBPUSD,5,-0.33,0.89,-0.33
GBPUSD,6,-1.16,-0.77,-1.42
GBPUSD,7,0.41,0.25,1.56
GBPUSD,8,-0.26,-0.46,0.59
GBPUSD,9,-0.82,-1.9,-0.19
GBPUSD,10,-0.24,0.21,
GBPUSD,11,0.74,0.49,
GBPUSD,12,0.3,0.63,
USDJPY,1,-0.79,0.37,-2.08
USDJPY,2,0.37,1.27,1.76
USDJPY,3,0.47,1.45,2.55
USDJPY,4,0.25,0.94,0.21
USDJPY,5,0.43,0.91,-0.57
USDJPY,6,0.86,2.78,1.67
USDJPY,7,-0.83,-1.43,-1.07
USDJPY,8,-0.2,0.16,-0.04
USDJPY,9,1.05,1.58,-0.27
USDJPY,10,1.71,2.91,
USDJPY,11,0.14,-1.43,
USDJPY,12,-0.45,-0.6,
USDOLLAR,1,-0.35,0.41,-1.31
USDOLLAR,2,0.66,0.69,0.64
USDOLLAR,3,-0.12,-0.17,2.41
USDOLLAR,4,-0.35,-0.23,-1.88
USDOLLAR,5,0.19,-0.31,0.85
USDOLLAR,6,0.2,0.58,2.31
USDOLLAR,7,-0.47,0.28,-1.37
USDOLLAR,8,-0.01,0.06,-0.37
USDOLLAR,9,0.82,1.29,0.34
USDOLLAR,10,0.96,1.01,
USDOLLAR,11,-0.1,-0.93,
USDOLLAR,12,-0.92,-0.66,
GOLD,1,3.63,,
GOLD,2,1.48,,
GOLD,3,1.15,,
GOLD,4,1.97,,
GOLD,5,0,,
GOLD,6,-0.76,,
GOLD,7,1.88,,
GOLD,8,1.74,,
GOLD,9,-0.71,,
GOLD,10,1.61,,
GOLD,11,-0.95,,
GOLD,12,2.15,,
SILVER,1,3.24,,
SILVER,2,0.18,,
SILVER,3,-0.33,,
SILVER,4,1.34,,
SILVER,5,2.5,,
SILVER,6,-1.46,,
SILVER,7,4.31,,
SILVER,8,2.11,,
SILVER,9,-1.39,,
SILVER,10,2.35,,
SILVER,11,-0.02,,
SILVER,12,5.16,,
PLATINUM,1,2.62,,
PLATINUM,2,0.89,,
PLATINUM,3,-3.1,,
PLATINUM,4,2.66,,
PLATINUM,5,-0.05,,
PLATINUM,6,-2.29,,
PLATINUM,7,2.55,,
PLATINUM,8,0.14,,
PLATINUM,9,-0.31,,
PLATINUM,10,2.15,,
PLATINUM,11,-0.84,,
PLATINUM,12,4.87,,
COPPER,1,1.95,,
COPPER,2,2.48,,
COPPER,3,-0.15,,
COPPER,4,1.58,,
COPPER,5,-0.71,,
COPPER,6,0.18,,
COPPER,7,-0.03,,
COPPER,8,-0.75,,
COPPER,9,1.1,,
COPPER,10,0.71,,
COPPER,11,2.9,,
COPPER,12,2.19,,
DAX,1,1.07,,
DAX,2,-0.23,,
DAX,3,-0.66,,
DAX,4,2.59,,
DAX,5,1.89,,
DAX,6,-0.72,,
DAX,7,1.78,,
DAX,8,-0.04,,
DAX,9,-0.47,,
DAX,10,1.09,,
DAX,11,3.28,,
DAX,12,0.73,,
DOW,1,1.1,,
DOW,2,-0.85,,
DOW,3,-0.7,,
DOW,4,1.36,,
DOW,5,0.59,,
DOW,6,1.49,,
DOW,7,2.69,,
DOW,8,0.84,,
DOW,9,-0.96,,
DOW,10,2.03,,
DOW,11,4.12,,
DOW,12,0.12,,
NASDAQ,1,2.21,,
NASDAQ,2,-0.72,,
NASDAQ,3,0.7,,
NASDAQ,4,2.23,,
NASDAQ,5,3.72,,
NASDAQ,6,2.7,,
NASDAQ,7,3.19,,
NASDAQ,8,1.76,,
NASDAQ,9,-1.41,,
NASDAQ,10,1.72,,
NASDAQ,11,3.46,,
NASDAQ,12,0,,
NIKKEI,1,0.71,,
NIKKEI,2,-0.27,,
NIKKEI,3,-1.56,,
NIKKEI,4,2.54,,
NIKKEI,5,2.88,,
NIKKEI,6,1.55,,
NIKKEI,7,-0.21,,
NIKKEI,8,1.17,,
NIKKEI,9,0.63,,
NIKKEI,10,3.66,,
NIKKEI,11,2.75,,
NIKKEI,12,-0.26,,
RUSSELL,1,1.06,,
RUSSELL,2,0.07,,
RUSSELL,3,-2.52,,
RUSSELL,4,1.28,,
RUSSELL,5,1.78,,
RUSSELL,6,1.98,,
RUSSELL,7,2.96,,
RUSSELL,8,0.63,,
RUSSELL,9,-1.38,,
RUSSELL,10,0.41,,
RUSSELL,11,5.5,,
RUSSELL,12,-0.75,,
UK100,1,0.67,,
UK100,2,0.1,,
UK100,3,-1.37,,
UK100,4,2.05,,
UK100,5,0.67,,
UK100,6,0.12,,
UK100,7,1.76,,
UK100,8,-0.94,,
UK100,9,-0.07,,
UK100,10,-0.1,,
UK100,11,1.38,,
UK100,12,1.65,,
EURCAD,1,-0.29,,
EURCAD,2,-0.27,,
EURCAD,3,0.72,,
EURCAD,4,-0.35,,
EURCAD,5,0.04,,
EURCAD,6,-0.09,,
EURCAD,7,0.03,,
EURCAD,8,0.31,,
EURCAD,9,-0.07,,
EURCAD,10,-0.33,,
EURCAD,11,0.14,,
EURCAD,12,0.97,,
EURJPY,1,-0.59,,
EURJPY,2,-0.27,,
EURJPY,3,0.81,,
EURJPY,4,0.52,,
EURJPY,5,0.38,,
EURJPY,6,0.92,,
EURJPY,7,-0.36,,
EURJPY,8,0.04,,
EURJPY,9,0.22,,
EURJPY,10,0.93,,
EURJPY,11,-0.11,,
EURJPY,12,0.66,,
EURNZD,1,0.24,,
EURNZD,2,0.01,,
EURNZD,3,1.15,,
EURNZD,4,0.49,,
EURNZD,5,-0.08,,
EURNZD,6,0.12,,
EURNZD,7,-0.19,,
EURNZD,8,1.06,,
EURNZD,9,0.4,,
EURNZD,10,-0.5,,
EURNZD,11,-1.36,,
EURNZD,12,0.02,,
GBPAUD,1,0.42,,
GBPAUD,2,-0.2,,
GBPAUD,3,0.17,,
GBPAUD,4,0.24,,
GBPAUD,5,0.22,,
GBPAUD,6,-1.21,,
GBPAUD,7,-0.32,,
GBPAUD,8,-0.11,,
GBPAUD,9,-0.08,,
GBPAUD,10,0.23,,
GBPAUD,11,0.21,,
GBPAUD,12,-0.42,,
GBPCAD,1,0.44,,
GBPCAD,2,-0.3,,
GBPCAD,3,0.14,,
GBPCAD,4,-0.15,,
GBPCAD,5,-0.24,,
GBPCAD,6,-1.32,,
GBPCAD,7,-0.05,,
GBPCAD,8,-0.22,,
GBPCAD,9,-0.1,,
GBPCAD,10,0.16,,
GBPCAD,11,1.08,,
GBPCAD,12,0.11,,
GBPJPY,1,0.16,,
GBPJPY,2,-0.29,,
GBPJPY,3,0.26,,
GBPJPY,4,0.71,,
GBPJPY,5,0.11,,
GBPJPY,6,-0.28,,
GBPJPY,7,-0.46,,
GBPJPY,8,-0.49,,
GBPJPY,9,0.2,,
GBPJPY,10,1.44,,
GBPJPY,11,0.88,,
GBPJPY,12,-0.16,,
GBPNZD,1,0.96,,
GBPNZD,2,-0.02,,
GBPNZD,3,0.59,,
GBPNZD,4,0.7,,
GBPNZD,5,-0.36,,
GBPNZD,6,-1.07,,
GBPNZD,7,-0.28,,
GBPNZD,8,0.53,,
GBPNZD,9,0.36,,
GBPNZD,10,-0.03,,
GBPNZD,11,-0.42,,
GBPNZD,12,-0.79,,
NZDCAD,1,-0.48,,
NZDCAD,2,-0.26,,
NZDCAD,3,-0.42,,
NZDCAD,4,-0.83,,
NZDCAD,5,0.13,,
NZDCAD,6,-0.16,,
NZDCAD,7,0.23,,
NZDCAD,8,-0.72,,
NZDCAD,9,-0.45,,
NZDCAD,10,0.23,,
NZDCAD,11,1.54,,
NZDCAD,12,0.99,,
NZDCHF,1,-0.05,,
NZDCHF,2,-0.13,,
NZDCHF,3,-0.65,,
NZDCHF,4,-0.21,,
NZDCHF,5,-0.33,,
NZDCHF,6,-0.57,,
NZDCHF,7,-0.03,,
NZDCHF,8,-1.08,,
NZDCHF,9,-0.5,,
NZDCHF,10,0.79,,
NZDCHF,11,1.2,,
NZDCHF,12,-0.52,,
NZDJPY,1,-0.74,,
NZDJPY,2,-0.27,,
NZDJPY,3,-0.26,,
NZDJPY,4,0.05,,
NZDJPY,5,0.47,,
NZDJPY,6,0.82,,
NZDJPY,7,-0.14,,
NZDJPY,8,-0.98,,
NZDJPY,9,-0.16,,
NZDJPY,10,1.51,,
NZDJPY,11,1.32,,
NZDJPY,12,0.66,,
NZDUSD,1,0.08,,
NZDUSD,2,-0.61,,
NZDUSD,3,-0.72,,
NZDUSD,4,-0.12,,
NZDUSD,5,0.06,,
NZDUSD,6,0.03,,
NZDUSD,7,0.71,,
NZDUSD,8,-0.74,,
NZDUSD,9,-1.15,,
NZDUSD,10,-0.16,,
NZDUSD,11,1.23,,
NZDUSD,12,1.16,,
USDCAD,1,-0.5,,
USDCAD,2,0.37,,
USDCAD,3,0.37,,
USDCAD,4,-0.65,,
USDCAD,5,0.08,,
USDCAD,6,-0.13,,
USDCAD,7,-0.45,,
USDCAD,8,0.07,,
USDCAD,9,0.75,,
USDCAD,10,0.44,,
USDCAD,11,0.36,,
USDCAD,12,-0.16,,
USDCHF,1,-0.06,,
USDCHF,2,0.51,,
USDCHF,3,0.12,,
USDCHF,4,-0.01,,
USDCHF,5,-0.39,,
USDCHF,6,-0.54,,
USDCHF,7,-0.7,,
USDCHF,8,-0.35,,
USDCHF,9,0.69,,
USDCHF,10,0.98,,
USDCHF,11,0.05,,
USDCHF,12,-1.62,,
USOIL,1,3.88,,
USOIL,2,1.57,,
USOIL,3,2.06,,
USOIL,4,1.64,,
USOIL,5,5.35,,
USOIL,6,2.14,,
USOIL,7,2.18,,
USOIL,8,-2.11,,
USOIL,9,1.54,,
USOIL,10,-0.64,,
USOIL,11,-2.98,,
USOIL,12,1.9,,
ETHEREUM,1,-5.37,,
ETHEREUM,2,-30.59,,
ETHEREUM,3,-4.33,,
ETHEREUM,4,2.86,,
ETHEREUM,5,16.57,,
ETHEREUM,6,-11.97,,
ETHEREUM,7,33.29,,
ETHEREUM,8,8.61,,
ETHEREUM,9,-1.05,,
ETHEREUM,10,-5.06,,
ETHEREUM,11,10.56,,
ETHEREUM,12,-4.63,,
